,tick,stateEstimate.x,stateEstimate.y,stateEstimate.yaw,mr18.m0,mr18.m1,mr18.m2,mr18.m3,mr18.m4,mr18.m5,mr18.m6,mr18.m7,mr18.m8,mr18.m9,mr18.m10,mr18.m11,mr18.m12,mr18.m13,mr18.m14,mr18.m15
0,0.0,-0.186084,0.164538,-0.7128282520781598,870.0,940.0,5001.0,1963.0,5002.0,5002.0,772.0,570.0,5002.0,2024.0,5007.0,1199.0,1159.0,1200.0,1301.0,977.0
1,20.0,-0.184235,0.16627,-0.6558304106185455,853.0,919.0,5007.0,5002.0,5002.0,5007.0,809.0,561.0,5002.0,5002.0,1136.0,1206.0,1182.0,1202.0,1296.0,973.0
2,33.0,-0.184358,0.166056,-0.6508972440024692,853.0,919.0,5007.0,5002.0,5002.0,5007.0,809.0,561.0,5002.0,5002.0,1136.0,1206.0,1182.0,1202.0,1296.0,973.0
3,40.0,-0.184228,0.16617,-0.6416783530788142,853.0,919.0,5007.0,5002.0,5002.0,5007.0,809.0,561.0,5002.0,5002.0,1136.0,1206.0,1182.0,1202.0,1296.0,973.0
4,60.0,-0.18413,0.164056,-0.6585691488792708,860.0,906.0,5001.0,2033.0,5001.0,5007.0,773.0,557.0,5002.0,5002.0,1078.0,1211.0,1153.0,1190.0,1318.0,963.0
5,73.0,-0.185424,0.1664,-0.6913595234946079,860.0,906.0,5001.0,2033.0,5001.0,5007.0,773.0,557.0,5002.0,5002.0,1078.0,1211.0,1153.0,1190.0,1318.0,963.0
6,80.0,-0.185419,0.166536,-0.7117625505792164,866.0,924.0,5002.0,2071.0,5002.0,5002.0,796.0,543.0,5001.0,2087.0,1074.0,1200.0,1162.0,1180.0,1310.0,979.0
7,100.0,-0.183104,0.16723,-0.7201907597455909,866.0,924.0,5002.0,2071.0,5002.0,5002.0,796.0,543.0,5001.0,2087.0,1074.0,1200.0,1162.0,1180.0,1310.0,979.0
8,110.0,-0.181928,0.167211,-0.7384623838323128,866.0,924.0,5002.0,2071.0,5002.0,5002.0,796.0,543.0,5001.0,2087.0,1074.0,1200.0,1162.0,1180.0,1310.0,979.0
9,120.0,-0.181767,0.166562,-0.770066735811729,864.0,934.0,5007.0,2012.0,5001.0,1622.0,794.0,546.0,5001.0,5002.0,5007.0,1198.0,1155.0,1206.0,1314.0,969.0
10,130.0,-0.182462,0.166403,-0.8043009640707958,864.0,934.0,5007.0,2012.0,5001.0,1622.0,794.0,546.0,5001.0,5002.0,5007.0,1198.0,1155.0,1206.0,1314.0,969.0
11,160.0,-0.181656,0.169406,-0.7695396146402087,860.0,931.0,5002.0,2053.0,5002.0,5007.0,791.0,559.0,5002.0,5002.0,1218.0,1193.0,1169.0,1187.0,1323.0,970.0
12,174.0,-0.180427,0.169478,-0.768393699049947,860.0,931.0,5002.0,2053.0,5002.0,5007.0,791.0,559.0,5002.0,5002.0,1218.0,1193.0,1169.0,1187.0,1323.0,970.0
13,180.0,-0.180695,0.168836,-0.7717569613073649,860.0,931.0,5002.0,2053.0,5002.0,5007.0,791.0,559.0,5002.0,5002.0,1218.0,1193.0,1169.0,1187.0,1323.0,970.0
14,200.0,-0.180613,0.168436,-0.7637412817534847,869.0,929.0,2145.0,1970.0,5002.0,5002.0,773.0,551.0,5002.0,2123.0,5007.0,1181.0,1164.0,1192.0,1319.0,980.0
15,210.0,-0.17925,0.169142,-0.755381827522526,869.0,929.0,2145.0,1970.0,5002.0,5002.0,773.0,551.0,5002.0,2123.0,5007.0,1181.0,1164.0,1192.0,1319.0,980.0
16,220.0,-0.179398,0.169303,-0.7857485906644597,869.0,929.0,2145.0,1970.0,5002.0,5002.0,773.0,551.0,5002.0,2123.0,5007.0,1181.0,1164.0,1192.0,1319.0,980.0
17,231.0,-0.177056,0.170022,-0.7740029558642778,869.0,929.0,2145.0,1970.0,5002.0,5002.0,773.0,551.0,5002.0,2123.0,5007.0,1181.0,1164.0,1192.0,1319.0,980.0
18,250.0,-0.177027,0.171596,-0.7392244176998368,874.0,931.0,1762.0,2018.0,5002.0,5007.0,795.0,555.0,5002.0,5002.0,5007.0,1202.0,1174.0,1196.0,1328.0,965.0
19,263.0,-0.177132,0.170917,-0.7396942430918442,874.0,931.0,1762.0,2018.0,5002.0,5007.0,795.0,555.0,5002.0,5002.0,5007.0,1202.0,1174.0,1196.0,1328.0,965.0
20,270.0,-0.176853,0.171092,-0.7307446423319006,866.0,950.0,5007.0,1992.0,5002.0,5002.0,774.0,556.0,5002.0,5001.0,5007.0,1187.0,1171.0,1216.0,1322.0,984.0
21,290.0,-0.176895,0.169963,-0.7276621293940968,866.0,950.0,5007.0,1992.0,5002.0,5002.0,774.0,556.0,5002.0,5001.0,5007.0,1187.0,1171.0,1216.0,1322.0,984.0
22,302.0,-0.176788,0.170651,-0.7053568824296539,866.0,950.0,5007.0,1992.0,5002.0,5002.0,774.0,556.0,5002.0,5001.0,5007.0,1187.0,1171.0,1216.0,1322.0,984.0
23,310.0,-0.176579,0.170746,-0.7029848371578122,868.0,935.0,5002.0,1983.0,5002.0,5002.0,786.0,558.0,5002.0,5002.0,5007.0,1193.0,1202.0,1204.0,1316.0,983.0
